entity,hypernym,neg_hypernym,depth,level,pageviews,go_id,parent_id,namespace
O-acetylhomoserine aminocarboxypropyltransferase activity,"transferase activity, transferring alkyl or aryl (other than methyl) groups",protein-containing complex,5,1,0.0,GO:0003961,GO:0016765,molecular_function
photosystem II,photosystem,reproductive process in single-celled organism,5,1,6.92e-08,GO:0009523,GO:0009521,cellular_component
stereocilium base,cellular anatomical structure,cysteine-type endopeptidase activity,3,1,0.0,GO:0120044,GO:0110165,cellular_component
macroautophagy,autophagy,generation of precursor metabolites and energy,5,1,0.0,GO:0016236,GO:0006914,biological_process
amine biosynthetic process,amine metabolic process,membrane protein complex,5,1,6.17e-07,GO:0009309,GO:0009308,biological_process
penetration of cumulus oophorus,multicellular organismal reproductive process,cardiac muscle adaptation,4,1,5.13e-06,GO:0061956,GO:0048609,biological_process
"retrograde transport, endosome to Golgi",intercellular transport,molecular function regulator activity,4,1,1.23e-06,GO:0042147,GO:0010496,biological_process
peptidyl-proline hydroxylation to 4-hydroxy-L-proline,non-proteinogenic amino acid metabolic process,establishment or maintenance of polarity of follicular epithelium,5,1,2.67e-08,GO:0018401,GO:0170041,biological_process
negative regulation of HRI-mediated signaling,biological regulation,anatomical structure regression,3,1,6.17e-05,GO:0141191,GO:0065007,biological_process
nucleotide transmembrane transporter activity,organophosphate ester transmembrane transporter activity,cellular process,5,1,1e-06,GO:0015215,GO:0015605,molecular_function
nuclear RNA-directed RNA polymerase complex,nuclear protein-containing complex,autophagy,4,1,5.37e-05,GO:0031380,GO:0140513,cellular_component
positive regulation of immune system process,regulation of immune system process,protein binding,5,1,9.77e-05,GO:0002684,GO:0002682,biological_process
secondary active cyanate transmembrane transporter activity,secondary active transmembrane transporter activity,quaternary ammonium group transmembrane transporter activity,5,1,3.39e-05,GO:0015541,GO:0015291,molecular_function
blood vessel maturation,anatomical structure maturation,molecular function regulator activity,5,1,0.000126,GO:0001955,GO:0071695,biological_process
"anterior/posterior axis specification, follicular epithelium",establishment or maintenance of polarity of follicular epithelium,anatomical structure morphogenesis,4,1,1.47e-06,GO:0030714,GO:0016334,biological_process
virion component,cellular_component,phosphoprotein phosphatase activity,2,1,1.51e-07,GO:0044423,GO:0005575,cellular_component
triglyceride binding,lipid binding,cellular anatomical structure,4,1,2.51e-07,GO:0017129,GO:0008289,molecular_function
optic cup formation involved in camera-type eye development,anatomical structure formation involved in morphogenesis,protein-containing complex,4,1,4.47e-06,GO:0003408,GO:0048646,biological_process
neuroblast development,cell development,response to osmotic stress,5,1,1.62e-08,GO:0014019,GO:0048468,biological_process
endoplasmic reticulum to chloroplast transport,intracellular transport,circadian rhythm,4,1,2.51e-07,GO:1901965,GO:0046907,biological_process
"bacterial-type flagellum basal body, rod",cellular anatomical structure,regulation of immune system process,3,1,5.22e-06,GO:0030694,GO:0110165,cellular_component
smooth muscle hyperplasia,muscle hyperplasia,tetrapyrrole metabolic process,5,1,2.51e-05,GO:0014806,GO:0014900,biological_process
embryonic meristem initiation,meristem initiation,quaternary ammonium group transmembrane transporter activity,4,1,1.7e-06,GO:0090421,GO:0010014,biological_process
exine,cellular anatomical structure,radial spoke head,3,1,0.0,GO:0043668,GO:0110165,cellular_component
RBL family protein binding,protein binding,membrane protein complex,4,1,1.26e-07,GO:0061675,GO:0005515,molecular_function
nuclear localization sequence binding,signal sequence binding,intramembrane lipid carrier activity,5,1,5.37e-05,GO:0008139,GO:0005048,molecular_function
glycine-gated chloride channel complex,plasma membrane protein complex,growth factor binding,5,1,3.29e-07,GO:0016935,GO:0098797,cellular_component
beta-catenin binding,protein binding,heterocyclic compound binding,4,1,1.47e-07,GO:0008013,GO:0005515,molecular_function
lateral plasma membrane,cellular anatomical structure,developmental process involved in reproduction,3,1,5.62e-06,GO:0016328,GO:0110165,cellular_component
protein asparagine deamidase activity,"catalytic activity, acting on a protein",choline transmembrane transporter activity,4,1,3.39e-05,GO:0160260,GO:0140096,molecular_function
radial spoke head 1,radial spoke head,anatomical structure development,4,1,2.82e-06,GO:0120336,GO:0001535,cellular_component
"intramolecular oxidoreductase activity, transposing C=C bonds",intramolecular oxidoreductase activity,vesicle-mediated transport,5,1,1.38e-07,GO:0016863,GO:0016860,molecular_function
meiotic spindle pole body organization,meiotic cell cycle process,cellular anatomical structure,4,1,1.26e-07,GO:1990395,GO:1903046,biological_process
system development,anatomical structure development,cellular anatomical structure,4,1,0.000363,GO:0048731,GO:0048856,biological_process
Ire1 complex,serine/threonine protein kinase complex,zinc ion import into organelle,4,1,0.0,GO:1990332,GO:1902554,cellular_component
subplasmalemmal coating,cellular anatomical structure,multicellular organismal-level homeostasis,3,1,0.0,GO:0044280,GO:0110165,cellular_component
female germline ring canal inner rim,cellular anatomical structure,cell-cell adhesion,3,1,0.0001,GO:0035183,GO:0110165,cellular_component
amino-acid betaine transmembrane transporter activity,modified amino acid transmembrane transporter activity,cell cycle,5,1,4.42e-06,GO:0015199,GO:0072349,molecular_function
negative regulation of female receptivity,regulation of female receptivity,nuclear protein-containing complex,5,1,6.17e-05,GO:0007621,GO:0045924,biological_process
response to antineoplastic agent,response to chemical,phosphorus metabolic process,4,1,0.000107,GO:0097327,GO:0042221,biological_process
secondary growth,lateral growth,nuclear protein-containing complex,4,1,3.39e-05,GO:0080117,GO:0080190,biological_process
collagen type II trimer,fibrillar collagen trimer,carbon-carbon lyase activity,5,1,1.78e-06,GO:0005585,GO:0005583,cellular_component
immune response to tumor cell,immune response,"transferase activity, transferring alkyl or aryl (other than methyl) groups",4,1,1.38e-05,GO:0002418,GO:0006955,biological_process
protein import into nucleus,intracellular protein transport,neural precursor cell proliferation,5,1,3.39e-05,GO:0006606,GO:0006886,biological_process
phosphatidylcholine intramembrane carrier activity,intramembrane lipid carrier activity,lateral growth,4,1,5.5e-08,GO:0008525,GO:0140303,molecular_function
"pentose-phosphate shunt, non-oxidative branch",generation of precursor metabolites and energy,developmental process involved in reproduction,5,1,4.81e-08,GO:0009052,GO:0006091,biological_process
floral whorl development,developmental process involved in reproduction,epithelial cell proliferation,4,1,5.89e-06,GO:0048438,GO:0003006,biological_process
cardiac muscle tissue growth involved in heart morphogenesis,cardiac muscle tissue growth,protein binding,5,1,6.92e-06,GO:0003245,GO:0055017,biological_process
progesterone secretion,ovulation cycle process,nuclear protein-containing complex,4,1,1.02e-06,GO:0042701,GO:0022602,biological_process
hormone metabolic process,regulation of hormone levels,alkaloid metabolic process,4,1,6.61e-06,GO:0042445,GO:0010817,biological_process
GATA2-TAL1-TCF3-Lmo2 complex,nuclear protein-containing complex,plant organ formation,4,1,0.0,GO:0070354,GO:0140513,cellular_component
protein-fructosamine 3-kinase activity,kinase activity,biosynthetic process,4,1,0.0,GO:0102194,GO:0016301,molecular_function
glycine binding,amino acid binding,cardiac muscle adaptation,4,1,4.07e-07,GO:0016594,GO:0016597,molecular_function
protein-containing complex stabilizing activity,molecular_function,3-hydroxyphenyl propanoate transmembrane transporter activity,2,1,1.5e-05,GO:0140777,GO:0003674,molecular_function
meiotic strand displacement,DNA strand displacement,dicarboxylic acid transmembrane transporter activity,5,1,1.26e-07,GO:0000714,GO:0000732,biological_process
endoplasmic reticulum to Golgi vesicle-mediated transport,intracellular transport,anatomical structure development,4,1,2.51e-07,GO:0006888,GO:0046907,biological_process
coenzyme A binding,heterocyclic compound binding,cell development,4,1,2.57e-07,GO:0120225,GO:1901363,molecular_function
meprin A complex,membrane protein complex,sex determination,4,1,0.0,GO:0017090,GO:0098796,cellular_component
nerve growth factor production,neurotrophin production,miRNA binding,4,1,1.55e-05,GO:0032902,GO:0032898,biological_process
porphyrin-containing compound metabolic process,tetrapyrrole metabolic process,nucleobase metabolic process,5,1,7.92e-08,GO:0006778,GO:0033013,biological_process
antigen processing and presentation of endogenous antigen,antigen processing and presentation,tetrapyrrole metabolic process,4,1,1.62e-06,GO:0019883,GO:0019882,biological_process
synaptic assembly at neuromuscular junction,neuromuscular junction development,cellular component assembly,4,1,1.05e-06,GO:0051124,GO:0007528,biological_process
cysteine sulfinate desulfinase activity,carbon-sulfur lyase activity,cellular anatomical structure,5,1,4.57e-07,GO:0008826,GO:0016846,molecular_function
regulation of floral organ abscission by signal transduction,regulation of floral organ abscission,cell-cell adhesion,4,1,2.4e-05,GO:0060863,GO:0060860,biological_process
RNA polymerase I transcription regulator complex,transcription regulator complex,ovulation cycle process,4,1,4.79e-06,GO:0000120,GO:0005667,cellular_component
"ligase activity, forming carbon-nitrogen bonds",ligase activity,intracellular transport,4,1,1.12e-07,GO:0016879,GO:0016874,molecular_function
RNA polymerase I transcription repressor complex,nuclear protein-containing complex,serine/threonine protein kinase complex,4,1,4.79e-06,GO:0090570,GO:0140513,cellular_component
detection of hormone stimulus,detection of chemical stimulus,organophosphate ester transmembrane transporter activity,5,1,1.15e-05,GO:0009720,GO:0009593,biological_process
Shu complex,protein-containing complex,aldonate transmembrane transporter activity,3,1,1.55e-06,GO:0097196,GO:0032991,cellular_component
purine nucleobase metabolic process,nucleobase metabolic process,nucleobase transmembrane transporter activity,5,1,1.51e-07,GO:0006144,GO:0009112,biological_process
cell proliferation in hindbrain,neural precursor cell proliferation,multicellular organismal-level homeostasis,5,1,7.41e-05,GO:0021534,GO:0061351,biological_process
response to vitamin B1,response to alcohol,miRNA binding,5,1,0.000107,GO:0010266,GO:0097305,biological_process
medial cortex septin ring,cleavage apparatus septin structure,molecular_function,4,1,1.62e-06,GO:0036391,GO:0032161,cellular_component
deoxyribonucleotide catabolic process,catabolic process,anatomical structure morphogenesis,5,1,0.0,GO:0009264,GO:0009056,biological_process
radial spoke neck,protein-containing complex,cellular anatomical structure,3,1,2.82e-06,GO:0120343,GO:0032991,cellular_component
NAGS/NAGK complex,mitochondrial protein-containing complex,immune system process,4,1,0.0,GO:0106098,GO:0098798,cellular_component
peptidyltransferase activity,"catalytic activity, acting on a protein",mitotic cell cycle,4,1,0.0,GO:0000048,GO:0140096,molecular_function
ubiquitin conjugating enzyme complex,intracellular protein-containing complex,developmental growth,4,1,1.95e-07,GO:0031371,GO:0140535,cellular_component
L-DOPA binding,modified amino acid binding,cellular anatomical structure,4,1,1.44e-07,GO:0072544,GO:0072341,molecular_function
ovarian follicle development,anatomical structure development,"transferase activity, transferring alkyl or aryl (other than methyl) groups",4,1,2.88e-06,GO:0001541,GO:0048856,biological_process
phosphate-containing compound metabolic process,phosphorus metabolic process,cellular process,5,1,2.4e-06,GO:0006796,GO:0006793,biological_process
multicellular organism growth,developmental growth,generation of precursor metabolites and energy,3,1,2.82e-07,GO:0035264,GO:0048589,biological_process
actin cytoskeleton organization,actin filament-based process,cellular anatomical structure,4,1,1.38e-06,GO:0030036,GO:0030029,biological_process
energy derivation by oxidation of reduced inorganic compounds,generation of precursor metabolites and energy,cellular_component,5,1,0.00017,GO:0015975,GO:0006091,biological_process
synoviocyte proliferation,epithelial cell proliferation,anatomical structure development,5,1,0.0,GO:0002941,GO:0050673,biological_process
light absorption,cellular process,cellular anatomical structure,3,1,0.000214,GO:0016037,GO:0009987,biological_process
proline binding,heterocyclic compound binding,nuclear protein-containing complex,4,1,2.82e-07,GO:1901973,GO:1901363,molecular_function
protein tyrosine phosphatase activity,phosphoprotein phosphatase activity,molecular function regulator activity,5,1,3.39e-05,GO:0004725,GO:0004721,molecular_function
choline:sodium symporter activity,choline transmembrane transporter activity,nucleobase metabolic process,5,1,0.0,GO:0005307,GO:0015220,molecular_function
renal system pattern specification,pattern specification process,biological_process,4,1,2.75e-06,GO:0072048,GO:0007389,biological_process
actin filament severing activity,protein-containing complex destabilizing activity,immunoglobulin binding,3,1,1.38e-06,GO:0003789,GO:0140776,molecular_function
cellularization cleavage furrow invagination front,cellular anatomical structure,detection of chemical stimulus,3,1,0.0,GO:0110071,GO:0110165,cellular_component
pole cell development,developmental process involved in reproduction,DNA binding,4,1,1.7e-05,GO:0007277,GO:0003006,biological_process
oocyte axis specification,axis specification,nuclear protein-containing complex,4,1,1.78e-07,GO:0007309,GO:0009798,biological_process
demethylation,metabolic process,cellular anatomical structure,4,1,6.17e-08,GO:0070988,GO:0008152,biological_process
membrane protein dislocase activity,protein carrier activity,binding,3,1,6.61e-06,GO:0140567,GO:0140597,molecular_function
exodeoxyribonuclease V complex,catalytic complex,organophosphate ester transmembrane transporter activity,4,1,0.0,GO:0009338,GO:1902494,cellular_component
kinesin II complex,kinesin complex,"ligase activity, forming carbon-oxygen bonds",5,1,5.89e-08,GO:0016939,GO:0005871,cellular_component
zinc ion import into synaptic vesicle,zinc ion import into organelle,cellular anatomical structure,4,1,4.47e-06,GO:0099180,GO:0062111,biological_process
floral whorl structural organization,anatomical structure arrangement,immunoglobulin binding,4,1,5.89e-06,GO:0048459,GO:0048532,biological_process
postsynaptic density,postsynaptic specialization,anatomical structure development,5,1,1.95e-07,GO:0014069,GO:0099572,cellular_component
radial spoke base 2,radial spoke base,homeostatic process,4,1,2.82e-06,GO:0120341,GO:0120339,cellular_component
response to non-ionic osmotic stress,response to osmotic stress,radial spoke head,5,1,0.000107,GO:0010335,GO:0006970,biological_process
ascospore formation,reproductive process in single-celled organism,intramolecular oxidoreductase activity,4,1,0.0,GO:0030437,GO:0022413,biological_process
organelle membrane contact site,cellular anatomical structure,binding,3,1,1.35e-07,GO:0044232,GO:0110165,cellular_component
sorocarp stalk morphogenesis,anatomical structure morphogenesis,quaternary ammonium group transmembrane transporter activity,4,1,0.0,GO:0036360,GO:0009653,biological_process
anaphase,cell cycle phase,regulation of hormone levels,4,1,8.71e-08,GO:0051322,GO:0022403,biological_process
"icosahedral viral capsid, spike",virion component,antigen processing and presentation,3,1,6.17e-08,GO:0098029,GO:0044423,cellular_component
dichotomous subdivision of prostate epithelial cord terminal unit,developmental process involved in reproduction,quaternary ammonium group transmembrane transporter activity,4,1,2.04e-07,GO:0060524,GO:0003006,biological_process
endomitotic cell cycle,mitotic cell cycle,protein-lipid-RNA complex,5,1,0.0,GO:0007113,GO:0000278,biological_process
tRNA-uridine aminocarboxypropyltransferase activity,"transferase activity, transferring alkyl or aryl (other than methyl) groups",membrane-bounded organelle,5,1,6.2e-08,GO:0016432,GO:0016765,molecular_function
ATPase-coupled phosphate ion transmembrane transporter activity,ATPase-coupled transmembrane transporter activity,membrane-bounded organelle,4,1,3.2e-07,GO:0015415,GO:0042626,molecular_function
endocardial cushion fusion,cell-cell adhesion,response to alcohol,5,1,2.34e-08,GO:0003274,GO:0098609,biological_process
interleukin-21 production,cytokine production,choline transmembrane transporter activity,4,1,4.88e-07,GO:0032625,GO:0001816,biological_process
regulation of cell growth,regulation of growth,carbon-sulfur lyase activity,5,1,2.4e-05,GO:0001558,GO:0040008,biological_process
ESCRT IV complex,ATPase complex,antigen processing and presentation,4,1,1.55e-08,GO:1990621,GO:1904949,cellular_component
miRNA inhibitor activity via base-pairing,miRNA binding,neuromuscular junction development,4,1,3.16e-07,GO:0140869,GO:0035198,molecular_function
L-idonate transmembrane transporter activity,aldonate transmembrane transporter activity,plant organ formation,5,1,0.0,GO:0015568,GO:0042879,molecular_function
phospholamban complex,membrane protein complex,actin filament-based process,4,1,0.0,GO:1990629,GO:0098796,cellular_component
carnitine transmembrane transporter activity,quaternary ammonium group transmembrane transporter activity,muscle hyperplasia,5,1,1.74e-07,GO:0015226,GO:0015651,molecular_function
mitotic cell cycle,cell cycle,catalytic complex,4,1,2.95e-07,GO:0000278,GO:0007049,biological_process
GPI-anchor transamidase activity,cysteine-type endopeptidase activity,"ligase activity, forming carbon-oxygen bonds",5,1,1.71e-07,GO:0003923,GO:0004197,molecular_function
detection of hydrogen ion,detection of chemical stimulus,cellular anatomical structure,5,1,1.15e-05,GO:0003030,GO:0009593,biological_process
3-hydroxyphenyl propionate:proton symporter activity,3-hydroxyphenyl propanoate transmembrane transporter activity,developmental process involved in reproduction,5,1,2.24e-08,GO:0015540,GO:0015551,molecular_function
single-stranded DNA binding,DNA binding,cell projection,5,1,4.92e-06,GO:0003697,GO:0003677,molecular_function
regulation of receptor recycling,regulation of macromolecule metabolic process,meiotic cell cycle process,5,1,2.4e-05,GO:0001919,GO:0060255,biological_process
thylakoid lumen,cellular anatomical structure,programmed cell death involved in cell development,3,1,3.98e-08,GO:0031977,GO:0110165,cellular_component
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",DNA topoisomerase activity,membraneless organelle,4,1,3.09e-05,GO:0003918,GO:0003916,molecular_function
archaeal-type flagellum,cell projection,segment specification,4,1,6.92e-08,GO:0097589,GO:0042995,cellular_component
alkane transport,transport,carbon-carbon lyase activity,5,1,6.92e-08,GO:0015895,GO:0006810,biological_process
viral transcriptional complex,protein-containing complex,regulation of growth,3,1,1.2e-05,GO:0019036,GO:0032991,cellular_component
nephron development,anatomical structure development,formate transmembrane transporter activity,4,1,4.9e-08,GO:0072006,GO:0048856,biological_process
ionotropic glutamate receptor signaling pathway,ligand-gated ion channel signaling pathway,maintenance of seed dormancy,5,2,1.91e-08,GO:0035235,GO:1990806,biological_process
positive regulation of membrane hyperpolarization,positive regulation of biological process,exopeptidase activity,5,2,9.77e-05,GO:1902632,GO:0048518,biological_process
Kdo2-lipid IVA acyltransferase activity,"acyltransferase activity, transferring groups other than amino-acyl groups",formation of animal organ boundary,6,2,0.0,GO:0008913,GO:0016747,molecular_function
ferroxidase complex,oxidoreductase complex,netrin receptor activity,5,2,0.0,GO:1905862,GO:1990204,cellular_component
regulation of lymphatic vessel size,lymphatic vascular process in circulatory system,cortical actin cytoskeleton organization,5,2,2.4e-05,GO:1990186,GO:1990183,biological_process
protein histidine phosphatase activity,phosphoprotein phosphatase activity,protein domain specific binding,5,2,3.39e-05,GO:0101006,GO:0004721,molecular_function
indole glucosinolate metabolic process,indole-containing compound metabolic process,organelle membrane,5,2,1.95e-07,GO:0042343,GO:0042430,biological_process
nucleolar exosome (RNase complex),nuclear exosome (RNase complex),nucleotide-sugar metabolic process,5,2,7.76e-08,GO:0101019,GO:0000176,cellular_component
RIP homotypic interaction motif binding,protein domain specific binding,oxidoreductase complex,5,2,1.82e-05,GO:0071551,GO:0019904,molecular_function
ABC-type choline transporter activity,ABC-type transporter activity,response to molecule of bacterial origin,5,2,1.59e-05,GO:0033266,GO:0140359,molecular_function
estrogen biosynthetic process,steroid hormone biosynthetic process,protein domain specific binding,6,2,2.29e-06,GO:0006703,GO:0120178,biological_process
glutathione catabolic process,glutathione metabolic process,pyrimidine nucleotide binding,6,2,4.9e-07,GO:0006751,GO:0006749,biological_process
response to trehalose-6-phosphate,response to oxygen-containing compound,"catalytic activity, acting on a tRNA",5,2,0.000107,GO:0080094,GO:1901700,biological_process
regulation of ovulation,regulation of multicellular organismal process,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",5,2,2.4e-05,GO:0060278,GO:0051239,biological_process
