entity,hypernym,neg_hypernym,depth,level,pageviews,tree_num,parent_num
Benzoylarginine-2-Naphthylamide,Amides,Neoplasms,3,1,0.0,D02.065.300,D02.065
Glymphatic System,Cardiovascular System,Heart Diseases,2,1,0.0,A07.521,A07
Hepatolenticular Degeneration,Liver Diseases,Proteins,3,1,0.0,C06.552.413,C06.552
Iodoproteins,Proteins,Autoimmune Diseases,3,1,0.0,D12.776.486,D12.776
Semicarbazones,Semicarbazides,Emotions,3,1,0.0,D02.845.746,D02.845
"Osteoarthropathy, Primary Hypertrophic",Joint Diseases,Bird Diseases,3,1,0.0,C05.550.648,C05.550
Camurati-Engelmann Syndrome,"Genetic Diseases, Inborn",Quinones,3,1,0.0,C16.320.144,C16.320
Anthraquinones,Quinones,Proteins,3,1,0.0,D02.806.100,D02.806
Trichodesmium,Nitrogen-Fixing Bacteria,Respiratory Tract Infections,3,1,0.0,B03.585.950,B03.585
Polyanhydrides,Polymers,Investigative Techniques,3,1,0.0,D05.750.725,D05.750
Desulfitobacterium,Sulfur-Reducing Bacteria,Body Regions,3,1,0.0,B03.900.174,B03.900
Tropanes,Alkaloids,Health Occupations,3,1,0.0,D03.132.889,D03.132
Pericarditis,Heart Diseases,Embryonic Structures,3,1,8.32e-08,C14.280.720,C14.280
Neurosurgical Procedures,"Surgical Procedures, Operative",Chemotactic Factors,2,1,1.91e-07,E04.525,E04
Bronchiectasis,Bronchial Diseases,Amides,3,1,6.03e-08,C08.127.384,C08.127
Coloboma,"Eye Diseases, Hereditary","Genetic Diseases, Inborn",3,1,2.29e-08,C11.270.147,C11.270
"Purpura, Thrombocytopenic, Idiopathic",Autoimmune Diseases,Proteins,3,1,1.26e-07,C20.111.759,C20.111
Glomerular Filtration Barrier,Cardiovascular System,Pathologic Processes,2,1,1.58e-07,A07.500,A07
Barotrauma,Wounds and Injuries,Proteobacteria,2,1,3.24e-08,C26.120,C26
Chemokines,Chemotactic Factors,Genetic Techniques,3,1,9.77e-08,D23.125.300,D23.125
Mutagenicity Tests,Genetic Techniques,Proteobacteria,3,1,2.63e-08,E05.393.560,E05.393
Desiccation,Chemical Phenomena,Bronchial Diseases,2,1,1.62e-07,G02.176,G02
Uremic Toxins,"Toxins, Biological",Animal Structures,3,1,6.76e-08,D23.946.710,D23.946
Parathyroid Diseases,Endocrine System Diseases,Health Occupations,2,1,2.14e-07,C19.642,C19
Ferric Compounds,Iron Compounds,Connective Tissue Diseases,3,1,2.04e-07,D01.490.100,D01.490
GABAergic Neurons,Neurons,Central Nervous System,3,1,9.33e-08,A08.675.289,A08.675
Campylobacter,Gram-Negative Bacteria,Burns,3,1,1.78e-07,B03.440.180,B03.440
Leukoplakia,Precancerous Conditions,Prodrugs,3,1,4.37e-08,C04.834.512,C04.834
"Empyema, Pleural",Pleural Diseases,Pathologic Processes,3,1,2.57e-08,C08.528.240,C08.528
Biocatalysis,Metabolism,Integumentary System Physiological Phenomena,2,1,2.29e-08,G03.105,G03
Galvanic Skin Response,Psychological Techniques,Substance-Related Disorders,3,1,2.34e-07,E05.796.332,E05.796
Allografts,Transplants,Mental Disorders,3,1,5.13e-08,A01.941.500,A01.941
"Bronchiolitis, Viral",Virus Diseases,Proteobacteria,3,1,6.61e-08,C01.925.109,C01.925
Onco-anesthesia,Anesthesia,Proteins,3,1,2.66e-08,E03.155.413,E03.155
"Lithotripsy, Laser",Laser Therapy,"Organisms, Genetically Modified",3,1,5.25e-08,E02.594.550,E02.594
Mesophyll Cells,Cells,Inorganic Chemicals,2,1,3.02e-08,A11.600,A11
Parthenogenesis,Plant Physiological Phenomena,Patient Care,2,1,9.77e-08,G15.547,G15
Malocclusion,Tooth Diseases,Investigative Techniques,3,1,6.31e-08,C07.793.494,C07.793
Glycosides,Carbohydrates,"Chemistry Techniques, Analytical",2,1,1.23e-07,D09.408,D09
Sebaceous Glands,Skin,"Chemistry Techniques, Analytical",3,1,2.19e-07,A17.815.805,A17.815
Choroid Hemorrhage,Eye Hemorrhage,Surgical Equipment,3,1,9.33e-08,C11.290.195,C11.290
Rhizobium,Nitrogen-Fixing Bacteria,Iron Compounds,3,1,3.8e-08,B03.585.900,B03.585
Cryotherapy,Therapeutics,Prostheses and Implants,2,1,9.33e-08,E02.258,E02
Serology,Health Occupations,Airway Management,2,1,8.91e-08,H02.781,H02
Pneumoconiosis,Occupational Diseases,Bronchial Diseases,2,1,4.68e-08,C24.800,C24
Feminization,Signs and Symptoms,Semicarbazides,3,1,2.4e-07,C23.888.378,C23.888
Laminectomy,"Decompression, Surgical",Animal Structures,3,1,6.03e-08,E04.188.400,E04.188
Rhizome,Plant Roots,"Genetic Diseases, Inborn",3,1,2.51e-07,A18.400.750,A18.400
Corpora Allata,Animal Structures,Proteins,2,1,2.29e-07,A13.250,A13
"Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination",Drug Combinations,Heart,3,1,2.57e-08,D26.310.750,D26.310
Endocarditis,Heart Diseases,Nitrogen-Fixing Bacteria,3,1,1.95e-07,C14.280.282,C14.280
Hepatocytes,Epithelial Cells,Pathologic Processes,3,1,2.19e-07,A11.436.348,A11.436
Immobilized Proteins,Proteins,Enzymes,3,1,4.68e-07,D12.776.463,D12.776
Exploratory Behavior,Behavior,Chemotactic Factors,3,1,1.51e-06,F01.145.387,F01.145
Frasier Syndrome,"Genetic Diseases, Inborn",Mouth Diseases,3,1,6.31e-07,C16.320.306,C16.320
Alopecia,"Pathological Conditions, Anatomical",Digestive System Abnormalities,3,1,4.57e-07,C23.300.035,C23.300
"Syphilis, Cardiovascular",Cardiovascular Infections,Ostomy,3,1,1.26e-06,C01.190.500,C01.190
Nucleotide Mapping,"Chemistry Techniques, Analytical",Epithelial Cells,3,1,1e-06,E05.196.680,E05.196
"Biomarkers, Tumor",Biomarkers,Signs and Symptoms,3,1,6.92e-07,D23.101.140,D23.101
"Biopsy, Needle",Punctures,Cardiovascular System,3,1,2.04e-06,E04.665.100,E04.665
Seaweed,Aquatic Organisms,Animal Structures,3,1,1.66e-06,B05.080.750,B05.080
Musculoskeletal Manipulations,Physical Therapy Modalities,Bird Diseases,3,1,5.62e-07,E02.779.867,E02.779
"Anesthesia, Dental",Anesthesia,Muscular Diseases,3,1,2.45e-06,E03.155.141,E03.155
"Antigens, T-Independent",Antigens,Hypersensitivity,3,1,8.32e-07,D23.050.324,D23.050
Pineal Gland,Neurosecretory Systems,Physiological Phenomena,3,1,3.16e-07,A06.688.733,A06.688
"Hypersensitivity, Delayed",Hypersensitivity,Publication Formats,3,1,5.89e-07,C20.543.418,C20.543
Autophagy-Related Proteins,Proteins,Gram-Negative Bacteria,3,1,2.88e-07,D12.776.094,D12.776
Necrosis,Pathologic Processes,Periodontics,3,1,8.32e-07,C23.550.717,C23.550
"Contraceptives, Oral, Combined",Drug Combinations,Hindlimb,3,1,1.05e-06,D26.310.360,D26.310
Urea,Amides,Joint Diseases,3,1,6.92e-07,D02.065.950,D02.065
Neoplasms by Histologic Type,Neoplasms,Therapeutics,2,1,3.31e-07,C04.557,C04
Cytochrome P-450 Enzyme System,Cytochromes,Metabolism,3,1,5.5e-07,D08.244.453,D08.244
"Transplantation, Homologous",Transplantation,Antigens,3,1,1.7e-06,E04.936.864,E04.936
Bronchitis,Respiratory Tract Infections,Joint Diseases,3,1,8.32e-07,C01.748.099,C01.748
Bridged-Ring Compounds,Polycyclic Compounds,Patient Care,2,1,5.57e-07,D04.075,D04
"Embryo, Nonmammalian",Animal Structures,Alkaloids,2,1,2.19e-06,A13.350,A13
"Pancreas, Exocrine",Exocrine Glands,Non-Medical Public and Private Facilities,3,1,1.38e-06,A10.336.645,A10.336
Intracellular Space,Body Fluid Compartments,Muscular Diseases,3,1,1.05e-06,A10.082.750,A10.082
Filtration,Physical Phenomena,Alkaloids,2,1,2.04e-06,G01.280,G01
Orthopedic Procedures,Therapeutics,Personality,2,1,1.23e-06,E02.718,E02
"Tarsus, Animal",Hindlimb,Heart Diseases,3,1,4.27e-07,A13.473.821,A13.473
Psychoanalytic Interpretation,Behavioral Disciplines and Activities,Boron Compounds,2,1,6.61e-07,F04.628,F04
Punctures,"Surgical Procedures, Operative",Mouth Diseases,2,1,4.17e-07,E04.665,E04
Prosthesis Retention,Prosthesis Fitting,Genetic Techniques,3,1,6.31e-07,E02.794.500,E02.794
Chronology,Publication Formats,Hindlimb,2,1,1.66e-06,V02.250,V02
Airway Extubation,Airway Management,Biological Factors,3,1,1.55e-06,E02.041.249,E02.041
Pheromones,Biological Factors,Potassium Compounds,2,1,6.61e-07,D23.641,D23
"Spores, Fungal",Spores,Physiological Phenomena,3,1,1.82e-06,A11.870.710,A11.870
Endocrine Gland Neoplasms,Neoplasms by Site,Polymers,3,1,1.15e-06,C04.588.322,C04.588
Spores,Cells,"Neoplastic Syndromes, Hereditary",2,1,1.82e-06,A11.870,A11
Uterine Rupture,Rupture,Boron Compounds,3,1,1.05e-06,C26.761.853,C26.761
Electrolytes,Inorganic Chemicals,Proteins,2,1,9.55e-07,D01.248,D01
Muscular Dystrophies,"Genetic Diseases, Inborn",Quinones,3,1,4.68e-06,C16.320.577,C16.320
"Chemotherapy, Adjuvant",Drug Therapy,Head,3,1,3.63e-06,E02.319.170,E02.319
"Guided Tissue Regeneration, Periodontal",Periodontics,Animal Diseases,3,1,1.15e-05,E06.721.485,E06.721
Mineral Fibers,Minerals,Proteins,3,1,1.07e-05,D01.578.500,D01.578
"Anterior Capsular Rupture, Ocular",Eye Injuries,Biomarkers,3,1,3.24e-06,C11.297.249,C11.297
"Epilepsy, Benign Neonatal","Infant, Newborn, Diseases",Proteins,3,1,2.88e-06,C16.614.258,C16.614
Dosage Forms,Pharmaceutical Preparations,Physiological Phenomena,2,1,3.31e-06,D26.255,D26
"Tuberculosis, Avian",Bird Diseases,Sulfur Compounds,3,1,3.8e-06,C22.131.921,C22.131
Substance-Related Disorders,Chemically-Induced Disorders,Bird Diseases,2,1,1.5e-05,C25.775,C25
Plastics,Polymers,Skin,3,1,3.8e-06,D05.750.716,D05.750
Trigger Points,Body Regions,Publication Formats,2,1,1.78e-05,A01.947,A01
Biography,Publication Components,Obstetric Surgical Procedures,2,1,7.76e-06,V01.175,V01
Guilt,Emotions,Neoplasms by Site,3,1,1.35e-05,F01.470.483,F01.470
Scalp Dermatoses,Skin Diseases,Aquatic Organisms,3,1,3.02e-06,C17.800.738,C17.800
Spinal Cord,Central Nervous System,Neoplasms,3,1,7.08e-06,A08.186.854,A08.186
Cardiac Glycosides,Glycosides,Eye Manifestations,3,1,6.92e-06,D09.408.180,D09.408
Consciousness Monitors,Surgical Equipment,Genetic Phenomena,3,1,1.35e-05,E07.858.195,E07.858
Hydrogen Sulfide,Sulfur Compounds,Imines,3,1,9.55e-06,D01.875.350,D01.875
Viral Pseudotyping,Genetic Techniques,Alkaloids,3,1,1.2e-05,E05.393.880,E05.393
Spontaneous Combustion,Chemical Phenomena,Genetic Techniques,2,1,5.13e-06,G02.833,G02
Dental Enamel Proteins,Proteins,Precancerous Conditions,3,1,1.29e-05,D12.776.231,D12.776
Bedding and Linens,"Equipment and Supplies, Hospital",Epidemiologic Methods,3,1,2.51e-06,E07.325.137,E07.325
Thyroid Epithelial Cells,Epithelial Cells,Exocrine Glands,3,1,3.39e-06,A11.436.911,A11.436
alpha 1-Antitrypsin Deficiency,"Genetic Diseases, Inborn",Iron Compounds,3,1,1.78e-05,C16.320.060,C16.320
Lung Abscess,Respiratory Tract Infections,Mouth Diseases,3,1,1.26e-05,C01.748.407,C01.748
Gram-Negative Facultatively Anaerobic Rods,Gram-Negative Bacteria,Pathologic Processes,3,1,5.26e-06,B03.440.450,B03.440
Nerve Endings,Peripheral Nervous System,Animal Structures,3,1,1.55e-05,A08.800.550,A08.800
Insulin Antagonists,Hormone Antagonists,Carbohydrates,3,1,6.46e-06,D06.347.420,D06.347
"Dependency, Psychological",Personality,Heart,3,1,3.31e-06,F01.752.330,F01.752
Neural Tube,Embryonic Structures,Cosmetic Techniques,2,1,5.75e-06,A16.630,A16
Yang Deficiency,Pathologic Processes,Body Fluid Compartments,3,1,8.13e-06,C23.550.945,C23.550
Potassium Iodide,Potassium Compounds,"Pathological Conditions, Anatomical",3,1,3.8e-06,D01.745.680,D01.745
Plasma Skin Regeneration,Cosmetic Techniques,Respiratory Tract Infections,3,1,8.91e-06,E02.218.707,E02.218
Fetal Heart,Heart,Aquatic Organisms,3,1,2.51e-06,A07.541.278,A07.541
Artifacts,Investigative Techniques,Embryonic Structures,2,1,5.25e-06,E05.047,E05
Median Arcuate Ligament Syndrome,Digestive System Abnormalities,Chemotactic Factors,3,1,1.12e-05,C06.198.929,C06.198
Arthritis,Joint Diseases,Genetic Techniques,3,1,4.07e-06,C05.550.114,C05.550
Orientation,"Adaptation, Psychological",Cardiovascular System,3,1,1.12e-05,F01.058.577,F01.058
Hepatitis,Liver Diseases,Chemical Phenomena,3,1,3.31e-06,C06.552.380,C06.552
Magnetic Field Therapy,Therapeutics,Genetic Phenomena,2,1,1.48e-05,E02.621,E02
"Plants, Genetically Modified","Organisms, Genetically Modified",Head,3,1,5.13e-05,B05.620.600,B05.620
Hand Deformities,Musculoskeletal Diseases,Embryonic Structures,2,1,0.000257,C05.390,C05
Eye Burns,Burns,Iron Compounds,3,1,0.000105,C26.200.503,C26.200
Heart Rupture,Heart Diseases,Virus Diseases,3,1,0.000204,C14.280.470,C14.280
Protein Sorting Signals,Peptides,Animal Structures,3,1,3.39e-05,D12.644.770,D12.644
Bone Marrow Purging,Blood Component Removal,Pleural Diseases,3,1,2.95e-05,E02.120.142,E02.120
Critical Care,Patient Care,Aquatic Organisms,3,1,6.76e-05,E02.760.190,E02.760
Alcohol-Related Disorders,Substance-Related Disorders,Genetic Techniques,3,1,3.08e-05,C25.775.100,C25.775
Blood Platelet Disorders,Hematologic Diseases,Therapeutics,3,1,0.000126,C15.378.140,C15.378
Hair Color,Integumentary System Physiological Phenomena,Precancerous Conditions,2,1,0.00012,G13.500,G13
Oral Manifestations,Signs and Symptoms,Cytochromes,3,1,1.82e-05,C23.888.619,C23.888
Child Day Care Centers,Non-Medical Public and Private Facilities,Cytochromes,2,1,0.0002,J03.160,J03
Iron Carbonyl Compounds,Iron Compounds,Psychological Techniques,3,1,5.5e-05,D01.490.500,D01.490
Contact Tracing,Epidemiologic Methods,Proteobacteria,3,1,9.77e-05,E05.318.270,E05.318
Feeding and Eating Disorders,Mental Disorders,Cells,2,1,1.91e-05,F03.400,F03
"Soil Pollutants, Radioactive",Radioactive Pollutants,Chemically-Induced Disorders,3,1,2.63e-05,D20.693.756,D20.693
African Swine Fever,Swine Diseases,Proteobacteria,3,1,6.61e-05,C22.905.072,C22.905
Awards and Prizes,Humanities,Proteins,2,1,5.13e-05,K01.150,K01
Bell Palsy,Mouth Diseases,Respiratory Tract Infections,3,1,3.89e-05,C07.465.094,C07.465
Intention,Motivation,Respiratory Tract Infections,3,1,2.14e-05,F01.658.650,F01.658
"Delivery, Obstetric",Obstetric Surgical Procedures,Chemical Phenomena,3,1,3.89e-05,E04.520.252,E04.520
Hot Flashes,Signs and Symptoms,"Adaptation, Psychological",3,1,0.000145,C23.888.475,C23.888
Breast Implants,Prostheses and Implants,Body Regions,3,1,2.24e-05,E07.695.140,E07.695
Gene Expression Regulation,Genetic Phenomena,Chemically-Induced Disorders,2,1,2.29e-05,G05.308,G05
Movement,Physiological Phenomena,Body Regions,2,1,9.33e-05,G07.568,G07
Genetic Testing,Genetic Techniques,Amides,3,1,2.19e-05,E05.393.435,E05.393
Decision Support Techniques,Investigative Techniques,Personality,2,1,0.000123,E05.245,E05
"Muscle Fibers, Skeletal",Muscle Cells,Aquatic Organisms,3,1,2.75e-05,A11.620.249,A11.620
Muscle Spasticity,Muscular Diseases,Skin,3,1,2.75e-05,C05.651.512,C05.651
Face,Head,Pleural Diseases,3,1,0.000282,A01.456.505,A01.456
Physical Examination,Diagnostic Techniques and Procedures,Joint Diseases,3,1,8.71e-05,E01.370.600,E01.370
"Chief Cells, Gastric",Epithelial Cells,Spores,3,1,0.000129,A11.436.150,A11.436
DNA Restriction-Modification Enzymes,Enzymes,Gases,3,1,3.09e-05,D08.811.150,D08.811
"Milk, Human",Bodily Secretions,Transplantation,3,1,4.57e-05,A12.200.467,A12.200
Published Erratum,Publication Formats,Alkaloids,2,1,0.000117,V02.737,V02
Heart Aneurysm,Heart Diseases,Plant Physiological Phenomena,3,1,0.000204,C14.280.358,C14.280
Environment Design,Social Sciences,DNA Viruses,2,1,7.41e-05,I01.283,I01
Carbon Dioxide,Gases,Boron Compounds,3,1,3.55e-05,D01.362.150,D01.362
Protein Isoforms,Proteins,Genetic Techniques,3,1,3.39e-05,D12.776.800,D12.776
Electric Stimulation Therapy,Therapeutics,Pleural Diseases,2,1,5.25e-05,E02.331,E02
Thioacetamide,Acetamides,Sulfhydryl Compounds,4,2,0.0,D02.065.064.786,D02.065.064
Quasispecies,Genetic Variation,Sweat Gland Diseases,3,2,0.0,G05.365.897,G05.365
Procyclidine,Pyrrolidines,Gene Frequency,4,2,0.0,D03.383.773.728,D03.383.773
Favism,Foodborne Diseases,Mouth Abnormalities,4,2,0.0,C25.723.415.341,C25.723.415
Mercaptoethylamines,Ethylamines,Vascular Malformations,4,2,0.0,D02.092.471.562,D02.092.471
Tritolyl Phosphates,Organophosphates,Hypertension,4,2,0.0,D02.705.400.875,D02.705.400
Toxiferine,Quaternary Ammonium Compounds,Psychotherapy,4,2,0.0,D02.092.877.844,D02.092.877
Rickettsiales,Alphaproteobacteria,Dry Eye Syndromes,4,2,0.0,B03.660.050.783,B03.660.050
Duodenogastric Reflux,Stomach Diseases,Foodborne Diseases,4,2,0.0,C06.405.748.240,C06.405.748
Angiokeratoma,"Neoplasms, Vascular Tissue",Indoleacetic Acids,4,2,0.0,C04.557.645.115,C04.557.645
Sulfolobaceae,Sulfolobales,"Genetic Diseases, X-Linked",4,2,0.0,B02.075.725.725,B02.075.725
Radiodermatitis,Dermatitis,Methadone,4,2,0.0,C17.800.174.826,C17.800.174
Trypanosomatina,Kinetoplastida,"Skin Diseases, Vascular",4,2,0.0,B01.268.475.868,B01.268.475
Aziridines,Azirines,Agriculture,4,2,0.0,D03.383.097.217,D03.383.097
Dibenzothiepins,Thiepins,Polyamines,4,2,0.0,D02.886.680.350,D02.886.680
Mucolipidoses,"Bone Diseases, Metabolic",Wasting Syndrome,4,2,0.0,C05.116.198.371,C05.116.198
Mitomycins,Azirines,Spin Labels,4,2,0.0,D03.383.097.500,D03.383.097
Myoepithelioma,"Neoplasms, Complex and Mixed","Hepatitis, Viral, Human",4,2,0.0,C04.557.435.585,C04.557.435
Descemet Membrane,Basement Membrane,Bone and Bones,4,2,0.0,A10.615.179.437,A10.615.179
Sporosarcina,Gram-Positive Endospore-Forming Bacteria,Mycoses,4,2,0.0,B03.300.390.825,B03.300.390
Dimethindene,Pyridines,Lower Extremity,4,2,0.0,D03.383.725.210,D03.383.725
Lagenidium,Oomycetes,Delivery of Health Care,4,2,0.0,B01.750.580.500,B01.750.580
Dysostoses,"Bone Diseases, Developmental",Vascular Malformations,4,2,0.0,C05.116.099.370,C05.116.099
Methanococcaceae,Methanococcales,Lung Injury,4,2,0.0,B02.200.538.525,B02.200.538
Agaricales,Basidiomycota,Dermatitis,4,2,0.0,B01.300.179.100,B01.300.179
"Keratoderma, Palmoplantar","Skin Diseases, Genetic",Methanococcales,4,2,0.0,C16.320.850.475,C16.320.850
Mevinphos,Organophosphates,Gammaproteobacteria,4,2,0.0,D02.705.400.501,D02.705.400
Myoglobinuria,Rhabdomyolysis,"Metals, Heavy",4,2,0.0,C05.651.807.628,C05.651.807
Xerophthalmia,Dry Eye Syndromes,Organization and Administration,4,2,0.0,C11.496.260.892,C11.496.260
Transendothelial and Transepithelial Migration,Cell Movement,Gammaproteobacteria,3,2,0.0,G04.198.950,G04.198
Methadyl Acetate,Methadone,Educational Measurement,4,2,0.0,D02.522.675.500,D02.522.675
Togaviridae Infections,RNA Virus Infections,Basement Membrane,4,2,0.0,C01.925.782.930,C01.925.782
Pantetheine,Sulfhydryl Compounds,"Neoplasms, Complex and Mixed",4,2,0.0,D02.886.489.700,D02.886.489
Coxiellaceae,Gammaproteobacteria,Developmental Dysplasia of the Hip,4,2,0.0,B03.660.250.132,B03.660.250
Etazolate,Nicotinic Acids,Transition Elements,4,2,0.0,D03.066.515.400,D03.066.515
Aporphines,Benzylisoquinolines,"Limb Deformities, Congenital",4,2,0.0,D03.132.098.038,D03.132.098
Triacetoneamine-N-Oxyl,Spin Labels,Agriculture,4,2,0.0,D02.389.678.900,D02.389.678
Ectromelia,"Limb Deformities, Congenital",Paralysis,4,2,0.0,C05.660.585.350,C05.660.585
Remoxipride,Benzamides,Pyrrolidines,4,2,0.0,D02.065.277.796,D02.065.277
Geotrichosis,Mycoses,Cities,4,2,0.0,C01.150.703.392,C01.150.703
Ranolazine,Piperazines,Mesoderm,4,2,1.35e-08,D03.383.606.841,D03.383.606
Holoprosencephaly,Craniofacial Abnormalities,Mucous Membrane,4,2,1.38e-08,C05.660.207.410,C05.660.207
Pallister-Hall Syndrome,"Abnormalities, Multiple",Educational Measurement,4,2,1.02e-07,C16.131.077.690,C16.131.077
Zollinger-Ellison Syndrome,Intestinal Diseases,Benzamides,4,2,4.29e-08,C06.405.469.965,C06.405.469
Molluscum Contagiosum,"Skin Diseases, Viral","Abnormalities, Multiple",4,2,3.31e-08,C01.925.825.550,C01.925.825
Histoplasmosis,Mycoses,Bone and Bones,4,2,4.27e-08,C01.150.703.450,C01.150.703
"Odontogenic Tumor, Squamous",Odontogenic Tumors,Informatics,4,2,4.07e-08,C04.557.695.607,C04.557.695
Alternaria,Mitosporic Fungi,Dyspnea,4,2,5.01e-08,B01.300.381.075,B01.300.381
Etodolac,Indoleacetic Acids,Retinal Artery Occlusion,4,2,1.17e-08,D03.066.288.200,D03.066.288
Mesons,Elementary Particles,Ecological and Environmental Phenomena,3,2,1.07e-07,G01.249.600,G01.249
Xylitol,Sugar Alcohols,"Neoplasms, Complex and Mixed",4,2,1e-07,D02.033.800.936,D02.033.800
Quintuplets,Multiple Birth Offspring,Dyspnea,3,2,9.55e-08,M01.438.587,M01.438
May-Thurner Syndrome,Vascular Malformations,Personality Disorders,4,2,1.38e-08,C14.240.850.906,C14.240.850
Cyclothymic Disorder,Mood Disorders,Communication,3,2,1.2e-08,F03.600.500,F03.600
Pericytes,Mesoderm,Blood Cells,4,2,3.98e-08,A16.504.660.600,A16.504.660
Hypochlorous Acid,Oxides,Personality Disorders,4,2,3.09e-08,D01.650.550.400,D01.650.550
INDEL Mutation,Mutagenesis,Petrolatum,3,2,1.41e-08,G05.558.370,G05.558
Endocardial Fibroelastosis,Cardiomyopathies,"Hepatitis, Viral, Human",4,2,2.34e-08,C14.280.238.281,C14.280.238
Ophthalmoplegia,Paralysis,"Education, Professional",4,2,1.91e-08,C10.597.622.447,C10.597.622
"Ophthalmoplegia, Chronic Progressive External",Mitochondrial Myopathies,Parapsychology,4,2,1.91e-08,C05.651.460.700,C05.651.460
Hypercalcemia,Water-Electrolyte Imbalance,Ecological and Environmental Phenomena,4,2,6.46e-08,C18.452.950.340,C18.452.950
Pneumoconiosis,Lung Injury,"Sexual Dysfunction, Physiological",4,2,4.68e-08,C08.381.520.702,C08.381.520
Hyperostosis Frontalis Interna,Hyperostosis,Oxides,4,2,1.58e-08,C05.116.540.420,C05.116.540
Overdiagnosis,Delivery of Health Care,Bone and Bones,3,2,4.17e-08,N05.300.565,N05.300
Prognathism,Mandibular Diseases,Basement Membrane,4,2,1.86e-08,C05.500.607.655,C05.500.607
Sitagliptin Phosphate,Pyrazines,Mesoderm,4,2,2.57e-08,D03.383.679.875,D03.383.679
Pneumocystis Infections,Mycoses,Gene Frequency,4,2,4.9e-08,C01.150.703.770,C01.150.703
Spermidine,Polyamines,Organization and Administration,4,2,2.34e-08,D02.092.782.677,D02.092.782
Tubocurarine,Benzylisoquinolines,Nervous System Physiological Phenomena,4,2,1.29e-08,D03.132.098.916,D03.132.098
Estrous Cycle,Reproductive Physiological Phenomena,Ecological and Environmental Phenomena,3,2,4.47e-08,G08.686.195,G08.686
Enterobacteriaceae,Gammaproteobacteria,Piperazines,4,2,6.92e-08,B03.660.250.150,B03.660.250
Pseudobulbar Palsy,Paralysis,Popular Work,4,2,1.38e-08,C10.597.622.714,C10.597.622
Dextrocardia,"Heart Defects, Congenital",Allied Health Occupations,4,2,1.17e-08,C14.240.400.280,C14.240.400
"Thyroiditis, Autoimmune",Thyroiditis,Quaternary Ammonium Compounds,4,2,1e-07,C19.874.871.102,C19.874.871
Netherton Syndrome,"Abnormalities, Multiple",Population Groups,4,2,6.61e-08,C16.131.077.619,C16.131.077
Pfiesteria piscicida,Dinoflagellida,Rhabdomyolysis,4,2,1.05e-08,B01.043.214.600,B01.043.214
Fluphenazine,Phenothiazines,Nervous System Physiological Phenomena,4,2,1.35e-08,D02.886.369.326,D02.886.369
