synset,hypernym,depth,level,entity,entity_hypernym,wiki_title,pageviews,neg_hypernym,domain
variable.n.01,thing.n.12,3,1,variable,thing,variable,1.32e-05,group,Other
neighbor.n.02,object.n.01,3,1,neighbor,object,neighbor,1.29e-05,causal agent,Other
magnitude_relation.n.01,relation.n.01,3,1,magnitude relation,relation,magnitude relation,6.71e-06,causal agent,Abstraction
definite_quantity.n.01,measure.n.02,3,1,definite quantity,measure,definite quantity,3.98e-06,psychological feature,Abstraction
electron_shell.n.01,group.n.01,3,1,electron shell,group,electron shell,5.21e-06,measure,Abstraction
iteration.n.02,process.n.06,3,1,iteration,process,iteration,2.45e-06,group,Other
diagonal.n.04,set.n.02,3,1,diagonal,set,diagonal,2.29e-06,object,Abstraction
curio.n.01,object.n.01,3,1,curio,object,curio,9.33e-06,causal agent,Other
time_interval.n.01,measure.n.02,3,1,time interval,measure,time interval,5.89e-06,relation,Abstraction
substance.n.04,physical_entity.n.01,2,1,substance,physical entity,substance,1.7e-05,relation,Other
residue.n.01,matter.n.03,3,1,residue,matter,residue,3.39e-06,attribute,Other
comparison.n.02,relation.n.01,3,1,comparison,relation,comparison,3.24e-05,attribute,Abstraction
social_relation.n.01,relation.n.01,3,1,social relation,relation,social relation,1.89e-05,process,Abstraction
depth.n.06,attribute.n.02,3,1,depth,attribute,depth,3.55e-05,object,Abstraction
possession.n.02,relation.n.01,3,1,possession,relation,possession,2.4e-05,group,Abstraction
proof.n.03,measure.n.02,3,1,proof,measure,proof,5.01e-05,object,Abstraction
processing.n.01,process.n.06,3,1,processing,process,processing,2.88e-05,relation,Other
volume.n.05,measure.n.02,3,1,volume,measure,volume,5.75e-05,relation,Abstraction
solid.n.01,matter.n.03,3,1,solid,matter,solid,5.37e-05,object,Other
communication.n.02,abstraction.n.06,2,1,communication,abstraction,communication,4.79e-05,attribute,Abstraction
industrial_process.n.01,process.n.06,3,1,industrial process,process,industrial process,4e-05,thing,Other
business_relation.n.01,relation.n.01,3,1,business relation,relation,business relation,1.93e-05,group,Abstraction
volume.n.01,measure.n.02,3,1,volume,measure,volume,5.75e-05,physical entity,Abstraction
arrangement.n.02,group.n.01,3,1,arrangement,group,arrangement,1.78e-05,measure,Abstraction
inheritance.n.04,attribute.n.02,3,1,inheritance,attribute,inheritance,2.29e-05,measure,Abstraction
operator.n.02,causal_agent.n.01,3,1,operator,causal agent,operator,2.09e-05,relation,Other
destiny.n.02,causal_agent.n.01,3,1,destiny,causal agent,destiny,2.29e-05,thing,Other
sediment.n.01,matter.n.03,3,1,sediment,matter,sediment,1.74e-05,set,Other
relation.n.01,abstraction.n.06,2,1,relation,abstraction,relation,2.04e-05,process,Abstraction
photography.n.02,process.n.06,3,1,photography,process,photography,2.82e-05,attribute,Other
web.n.01,object.n.01,3,1,web,object,web,5.5e-05,matter,Other
biological_group.n.01,group.n.01,3,1,biological group,group,biological group,1.94e-05,attribute,Abstraction
rare_earth.n.01,group.n.01,3,1,rare earth,group,rare earth,3.89e-05,abstraction,Abstraction
geological_formation.n.01,object.n.01,3,1,geological formation,object,geological formation,3.09e-05,process,Other
personality.n.01,attribute.n.02,3,1,personality,attribute,personality,3.55e-05,set,Abstraction
kingdom.n.06,group.n.01,3,1,kingdom,group,kingdom,4.17e-05,relation,Abstraction
circuit.n.05,group.n.01,3,1,circuit,group,circuit,2.95e-05,object,Abstraction
moon.n.02,object.n.01,3,1,moon,object,moon,5.01e-05,attribute,Other
ownership.n.01,relation.n.01,3,1,ownership,relation,ownership,2.51e-05,communication,Abstraction
danger.n.03,causal_agent.n.01,3,1,danger,causal agent,danger,3.89e-05,process,Other
radical.n.04,measure.n.02,3,1,radical,measure,radical,2.14e-05,group,Abstraction
visual_communication.n.01,communication.n.02,3,1,visual communication,communication,visual communication,1.9e-05,attribute,Abstraction
opposition.n.02,relation.n.01,3,1,opposition,relation,opposition,3.72e-05,causal agent,Abstraction
connection.n.01,relation.n.01,3,1,connection,relation,connection,5.75e-05,measure,Abstraction
object.n.01,physical_entity.n.01,2,1,object,physical entity,object,3.63e-05,communication,Other
ribbon.n.01,object.n.01,3,1,ribbon,object,ribbon,2.75e-05,group,Other
triviality.n.03,object.n.01,3,1,triviality,object,triviality,4.34e-05,causal agent,Other
vital_principle.n.01,causal_agent.n.01,3,1,vital principle,causal agent,vital principle,2.13e-05,attribute,Other
document.n.03,communication.n.02,3,1,document,communication,document,3.16e-05,attribute,Abstraction
universal_set.n.01,set.n.02,3,1,universal set,set,universal set,2.86e-05,communication,Abstraction
execution.n.03,process.n.06,3,1,execution,process,execution,1.95e-05,entity,Other
sign.n.02,communication.n.02,3,1,sign,communication,sign,0.00012,object,Abstraction
cognition.n.01,psychological_feature.n.01,3,1,cognition,psychological feature,cognition,9.12e-05,communication,Abstraction
growth.n.07,object.n.01,3,1,growth,object,growth,0.000107,measure,Other
character.n.09,attribute.n.02,3,1,character,attribute,character,0.000129,thing,Abstraction
necessity.n.02,thing.n.12,3,1,necessity,thing,necessity,8.13e-05,group,Other
time_unit.n.01,measure.n.02,3,1,time unit,measure,time unit,8.52e-05,abstraction,Abstraction
agent.n.01,causal_agent.n.01,3,1,agent,causal agent,agent,6.46e-05,group,Other
property.n.02,attribute.n.02,3,1,property,attribute,property,0.000129,matter,Abstraction
human_nature.n.01,attribute.n.02,3,1,human nature,attribute,human nature,6.69e-05,group,Abstraction
population.n.02,group.n.01,3,1,population,group,population,0.000102,measure,Abstraction
expressive_style.n.01,communication.n.02,3,1,expressive style,communication,expressive style,0.000129,group,Abstraction
location.n.01,object.n.01,3,1,location,object,location,7.24e-05,group,Other
remains.n.01,object.n.01,3,1,remains,object,remains,6.31e-05,physical entity,Other
association.n.06,relation.n.01,3,1,association,relation,association,0.000102,communication,Abstraction
kinship.n.02,relation.n.01,3,1,kinship,relation,kinship,0.000141,object,Abstraction
association.n.08,group.n.01,3,1,association,group,association,0.000102,set,Abstraction
relationship.n.01,relation.n.01,3,1,relationship,relation,relationship,0.000141,measure,Abstraction
image.n.07,set.n.02,3,1,image,set,image,0.000132,measure,Abstraction
ice.n.02,object.n.01,3,1,ice,object,ice,0.0001,physical entity,Other
quality.n.01,attribute.n.02,3,1,quality,attribute,quality,0.000129,physical entity,Abstraction
dark_matter.n.01,matter.n.03,3,1,dark matter,matter,dark matter,7.53e-05,attribute,Other
reservoir.n.04,thing.n.12,3,1,reservoir,thing,reservoir,0.000141,set,Other
function.n.04,relation.n.01,3,1,function,relation,function,6.03e-05,process,Abstraction
message.n.01,communication.n.02,3,1,message,communication,message,0.0001,process,Abstraction
wall.n.02,object.n.01,3,1,wall,object,wall,0.00011,group,Other
property.n.05,object.n.01,3,1,property,object,property,0.000129,psychological feature,Other
catch.n.04,object.n.01,3,1,catch,object,catch,7.41e-05,abstraction,Other
unit.n.05,thing.n.12,3,1,unit,thing,unit,8.91e-05,process,Other
voice.n.06,communication.n.02,3,1,voice,communication,voice,0.000117,object,Abstraction
engine.n.02,causal_agent.n.01,3,1,engine,causal agent,engine,6.92e-05,physical entity,Other
economic_process.n.01,process.n.06,3,1,economic process,process,economic process,7.44e-05,matter,Other
nature.n.02,causal_agent.n.01,3,1,nature,causal agent,nature,9.55e-05,abstraction,Other
subject.n.02,thing.n.12,3,1,subject,thing,subject,0.0001,process,Other
collection.n.01,group.n.01,3,1,collection,group,collection,9.12e-05,communication,Abstraction
finding.n.03,object.n.01,3,1,finding,object,finding,7.08e-05,set,Other
value.n.03,measure.n.02,3,1,value,measure,value,0.000141,causal agent,Abstraction
human_process.n.01,process.n.06,3,1,human process,process,human process,0.0001,object,Other
increase.n.03,process.n.06,3,1,increase,process,increase,0.00012,group,Other
language.n.01,communication.n.02,3,1,language,communication,language,0.000126,matter,Abstraction
voice.n.02,communication.n.02,3,1,voice,communication,voice,0.000117,measure,Abstraction
body_of_water.n.01,thing.n.12,3,1,body of water,thing,body of water,0.000331,process,Other
thing.n.09,attribute.n.02,3,1,thing,attribute,thing,0.000525,group,Abstraction
point.n.06,measure.n.02,3,1,point,measure,point,0.000347,group,Abstraction
part.n.01,relation.n.01,3,1,part,relation,part,0.000603,communication,Abstraction
thing.n.12,physical_entity.n.01,2,1,thing,physical entity,thing,0.000525,attribute,Other
part.n.03,thing.n.12,3,1,part,thing,part,0.000603,matter,Other
change.n.02,relation.n.01,3,1,change,relation,change,0.000347,entity,Abstraction
event.n.01,psychological_feature.n.01,3,1,event,psychological feature,event,0.000151,object,Abstraction
part.n.02,object.n.01,3,1,part,object,part,0.000603,group,Other
citizenry.n.01,group.n.01,3,1,citizenry,group,citizenry,0.00178,attribute,Abstraction
causal_agent.n.01,physical_entity.n.01,2,1,causal agent,physical entity,causal agent,0.000224,relation,Other
development.n.02,process.n.06,3,1,development,process,development,0.000204,relation,Other
field.n.10,set.n.02,3,1,field,set,field,0.000174,object,Abstraction
system.n.02,group.n.01,3,1,system,group,system,0.000363,set,Abstraction
world.n.08,group.n.01,3,1,world,group,world,0.000776,attribute,Animal
motivation.n.01,psychological_feature.n.01,3,1,motivation,psychological feature,motivation,0.000933,object,Abstraction
operation.n.08,process.n.06,3,1,operation,process,operation,0.000145,causal agent,Other
position.n.07,relation.n.01,3,1,position,relation,position,0.000162,process,Abstraction
thing.n.08,entity.n.01,1,1,thing,entity,thing,0.000525,group,Other
change.n.06,thing.n.08,2,1,change,thing,change,0.000347,relation,Other
multitude.n.03,group.n.01,3,1,multitude,group,multitude,0.00178,thing,Abstraction
power.n.05,causal_agent.n.01,3,1,power,causal agent,power,0.000331,object,Other
head.n.17,object.n.01,3,1,head,object,head,0.000324,process,Other
probability.n.01,measure.n.02,3,1,probability,measure,probability,0.000182,group,Abstraction
land.n.02,object.n.01,3,1,land,object,land,0.000166,set,Other
matter.n.03,physical_entity.n.01,2,1,matter,physical entity,matter,0.00024,group,Other
system.n.03,matter.n.03,3,1,system,matter,system,0.000363,abstraction,Other
space.n.01,attribute.n.02,3,1,space,attribute,space,0.00017,object,Abstraction
playing_period.n.01,measure.n.02,3,1,playing period,measure,playing period,0.000407,group,Abstraction
state.n.02,attribute.n.02,3,1,state,attribute,state,0.000603,relation,Abstraction
group.n.03,set.n.02,3,1,group,set,group,0.000372,attribute,Abstraction
first_cause.n.01,causal_agent.n.01,3,1,first cause,causal agent,first cause,0.000191,relation,Other
group.n.01,abstraction.n.06,2,1,group,abstraction,group,0.000372,causal agent,Abstraction
natural_process.n.01,process.n.06,3,1,natural process,process,natural process,0.000178,communication,Other
set.n.02,abstraction.n.06,2,1,set,abstraction,set,0.000389,matter,Abstraction
land.n.04,object.n.01,3,1,land,object,land,0.000166,relation,Other
time.n.05,attribute.n.02,3,1,time,attribute,time,0.00195,communication,Abstraction
film.n.04,object.n.01,3,1,film,object,film,0.000158,thing,Other
community.n.06,group.n.01,3,1,community,group,community,0.000219,causal agent,Abstraction
whole.n.02,object.n.01,3,1,whole,object,whole,0.000288,relation,Other
insufflation.n.01,blowing.n.01,5,2,insufflation,blowing,insufflation,4.17e-08,disabled,Other
cynodontia.n.01,division.n.07,5,2,cynodontia,division,cynodontia,1e-09,partner,Abstraction
hydrocolloid.n.01,substance.n.07,4,2,hydrocolloid,substance,hydrocolloid,3.55e-08,creator,Substance
cosmographer.n.01,scientist.n.01,5,2,cosmographer,scientist,cosmographer,1.1e-08,irregularity,Person
curtsy.n.01,gesture.n.02,5,2,curtsy,gesture,curtsy,1.12e-07,geological process,Abstraction
allyl.n.01,group.n.02,5,2,allyl,group,allyl,1.23e-07,ability,Other
asserter.n.01,communicator.n.01,5,2,asserter,communicator,asserter,1.23e-07,appearance,Person
seeder.n.01,person.n.01,4,2,seeder,person,seeder,6.61e-08,geological process,Person
pleonasm.n.01,verboseness.n.01,5,2,pleonasm,verboseness,pleonasm,1.95e-08,appearance,Abstraction
inamorata.n.01,lover.n.01,5,2,inamorata,lover,inamorata,2.63e-08,group,Person
thermogram.n.01,graph.n.01,5,2,thermogram,graph,thermogram,2.45e-08,statement,Abstraction
dichromat.n.01,color-blind_person.n.01,5,2,dichromat,color-blind person,dichromat,1e-09,distress signal,Person
tacker.n.01,worker.n.01,5,2,tacker,worker,tacker,3.39e-08,inlet,Person
radiogram.n.01,message.n.01,4,2,radiogram,message,radiogram,5.25e-08,intractability,Abstraction
homogenate.n.01,material.n.01,5,2,homogenate,material,homogenate,2.75e-08,expert,Abstraction
shoddiness.n.01,worthlessness.n.01,5,2,shoddiness,worthlessness,shoddiness,1.26e-08,chemical process,Abstraction
troponymy.n.02,collection.n.01,4,2,troponymy,collection,troponymy,1e-09,graph,Abstraction
episteme.n.01,cognition.n.01,4,2,episteme,cognition,episteme,4.68e-08,body of water,Abstraction
nonresistance.n.01,group_action.n.01,5,2,nonresistance,group action,nonresistance,2.14e-08,animal group,Abstraction
unsteadiness.n.02,irregularity.n.02,5,2,unsteadiness,irregularity,unsteadiness,3.72e-08,part,Abstraction
ungradable_opposition.n.01,opposition.n.02,4,2,ungradable opposition,opposition,ungradable opposition,1e-09,wit,Abstraction
copartner.n.01,partner.n.03,5,2,copartner,partner,copartner,1e-09,demeanor,Person
withdrawer.n.04,contestant.n.01,5,2,withdrawer,contestant,withdrawer,1e-09,statement,Person
shiftiness.n.02,changeableness.n.01,5,2,shiftiness,changeableness,shiftiness,1.35e-08,content,Abstraction
fluorocarbon_plastic.n.01,plastic.n.01,5,2,fluorocarbon plastic,plastic,fluorocarbon plastic,6.44e-08,ability,Other
quantifiability.n.01,quality.n.01,4,2,quantifiability,quality,quantifiability,2.14e-08,magnitude,Abstraction
ecobabble.n.01,jargon.n.03,5,2,ecobabble,jargon,ecobabble,1e-09,quality,Abstraction
trickiness.n.02,complexity.n.01,5,2,trickiness,complexity,trickiness,1.86e-08,taxonomic group,Abstraction
analyticity.n.01,property.n.02,4,2,analyticity,property,analyticity,1.62e-08,people,Abstraction
anatoxin.n.01,antigen.n.01,5,2,anatoxin,antigen,anatoxin,4.17e-08,adult,Substance
balkiness.n.01,intractability.n.01,5,2,balkiness,intractability,balkiness,1e-09,collection,Abstraction
incredibility.n.01,quality.n.01,4,2,incredibility,quality,incredibility,1.29e-08,cosmic time,Abstraction
femtosecond.n.01,time_unit.n.01,4,2,femtosecond,time unit,femtosecond,1.26e-07,gesture,Abstraction
rudiment.n.02,body_part.n.01,5,2,rudiment,body part,rudiment,1.86e-08,inaccuracy,Other
malabsorption.n.01,assimilation.n.03,5,2,malabsorption,assimilation,malabsorption,1.26e-07,time period,Other
venation.n.01,arrangement.n.02,4,2,venation,arrangement,venation,7.94e-08,lover,Abstraction
subtrahend.n.01,number.n.02,5,2,subtrahend,number,subtrahend,1e-09,ethical motive,Abstraction
effacement.n.01,organic_process.n.01,4,2,effacement,organic process,effacement,5.89e-08,formation,Other
transamination.n.02,chemical_process.n.01,5,2,transamination,chemical process,transamination,1.38e-08,antigen,Other
indisputability.n.01,certainty.n.02,5,2,indisputability,certainty,indisputability,1e-09,assortment,Abstraction
deliberation.n.05,thoughtfulness.n.03,5,2,deliberation,thoughtfulness,deliberation,1.15e-06,case,Abstraction
theorist.n.01,intellectual.n.01,5,2,theorist,intellectual,theorist,1.45e-06,number,Person
revenant.n.01,person.n.01,4,2,revenant,person,revenant,2.95e-07,music genre,Person
beater.n.01,worker.n.01,5,2,beater,worker,beater,1.23e-06,number,Person
adventurer.n.01,person.n.01,4,2,adventurer,person,adventurer,1.51e-06,creator,Person
tortuosity.n.01,distorted_shape.n.01,5,2,tortuosity,distorted shape,tortuosity,7.08e-07,assortment,Abstraction
particulate.n.01,material.n.01,5,2,particulate,material,particulate,1.1e-06,worthlessness,Abstraction
reliever.n.02,person.n.01,4,2,reliever,person,reliever,1.26e-06,number,Person
mystique.n.01,air.n.03,5,2,mystique,air,mystique,1e-06,natural language,Abstraction
choreographer.n.01,creator.n.02,5,2,choreographer,creator,choreographer,1.35e-06,material,Person
looseness.n.03,inaccuracy.n.01,5,2,looseness,inaccuracy,looseness,1.41e-07,plastic,Abstraction
glaciation.n.02,geological_process.n.01,5,2,glaciation,geological process,glaciation,3.16e-07,material,Other
norse_mythology.n.01,mythology.n.01,5,2,norse mythology,mythology,norse mythology,1.22e-06,biological group,Abstraction
sorption.n.01,natural_process.n.01,4,2,sorption,natural process,sorption,1.78e-07,professional relation,Other
sampler.n.03,assortment.n.01,5,2,sampler,assortment,sampler,1.26e-06,writing,Abstraction
equinox.n.01,cosmic_time.n.01,5,2,equinox,cosmic time,equinox,1.05e-06,adult,Abstraction
mummification.n.01,condition.n.01,5,2,mummification,condition,mummification,1.62e-07,offer,Abstraction
unpopularity.n.01,quality.n.01,4,2,unpopularity,quality,unpopularity,4.17e-07,geological process,Abstraction
laxness.n.02,condition.n.01,5,2,laxness,condition,laxness,1.66e-07,person,Abstraction
cipher.n.01,message.n.01,4,2,cipher,message,cipher,1.32e-06,person,Abstraction
clade.n.01,biological_group.n.01,4,2,clade,biological group,clade,2.34e-07,connection,Abstraction
genotype.n.01,biological_group.n.01,4,2,genotype,biological group,genotype,7.41e-07,magnitude,Abstraction
effeminacy.n.01,femininity.n.01,5,2,effeminacy,femininity,effeminacy,9.77e-07,foundation,Abstraction
relict.n.02,geological_formation.n.01,4,2,relict,geological formation,relict,1.45e-07,artifact,Other
angiogenesis.n.01,growth.n.01,5,2,angiogenesis,growth,angiogenesis,3.16e-07,time period,Other
waterway.n.01,body_of_water.n.01,4,2,waterway,body of water,waterway,1.51e-06,person,Other
zap.n.01,event.n.01,4,2,zap,event,zap,9.12e-07,movement,Abstraction
practicality.n.01,utility.n.02,5,2,practicality,utility,practicality,9.12e-07,cosmic time,Abstraction
methylene_group.n.01,group.n.02,5,2,methylene group,group,methylene group,2.29e-07,national,Other
disbandment.n.01,group_action.n.01,5,2,disbandment,group action,disbandment,1.45e-07,information,Abstraction
awfulness.n.01,unpleasantness.n.02,5,2,awfulness,unpleasantness,awfulness,1.66e-07,color-blind person,Abstraction
floater.n.02,debt_instrument.n.01,5,2,floater,debt instrument,floater,3.89e-07,natural language,Abstraction
intelligibility.n.01,comprehensibility.n.01,5,2,intelligibility,comprehensibility,intelligibility,1.95e-07,changeableness,Abstraction
mayday.n.01,distress_signal.n.01,5,2,mayday,distress signal,mayday,8.13e-07,person,Abstraction
eccentricity.n.02,ratio.n.01,5,2,eccentricity,ratio,eccentricity,6.92e-07,message,Abstraction
heirloom.n.01,property.n.01,5,2,heirloom,property,heirloom,9.55e-07,mythology,Abstraction
cardinality.n.01,number.n.02,5,2,cardinality,number,cardinality,2.04e-07,part,Abstraction
calcium_hypochlorite.n.01,bleaching_agent.n.01,5,2,calcium hypochlorite,bleaching agent,calcium hypochlorite,1.45e-07,victim,Substance
jeu_d'esprit.n.01,wit.n.01,5,2,jeu d'esprit,wit,jeu d'esprit,1.43e-07,artifact,Abstraction
concatenation.n.02,connection.n.01,4,2,concatenation,connection,concatenation,1.86e-07,person,Abstraction
status_quo.n.01,situation.n.01,5,2,status quo,situation,status quo,5.57e-06,inhabitant,Abstraction
troy.n.01,system_of_weights.n.01,5,2,troy,system of weights,troy,8.91e-06,strength,Abstraction
heresy.n.02,content.n.05,5,2,heresy,content,heresy,2.24e-06,cosmic time,Abstraction
stain.n.01,appearance.n.01,5,2,stain,appearance,stain,5.01e-06,strength,Abstraction
manners.n.01,demeanor.n.01,5,2,manners,demeanor,manners,6.76e-06,creator,Abstraction
planner.n.01,person.n.01,4,2,planner,person,planner,3.39e-06,native,Person
territorial_waters.n.01,body_of_water.n.01,4,2,territorial waters,body of water,territorial waters,6.31e-06,statement,Other
shank.n.06,part.n.02,4,2,shank,part,shank,9.12e-06,gradient,Other
distrust.n.02,trait.n.01,4,2,distrust,trait,distrust,2.51e-06,movement,Abstraction
vein.n.02,expressive_style.n.01,4,2,vein,expressive style,vein,5.89e-06,trait,Abstraction
convoy.n.01,procession.n.02,5,2,convoy,procession,convoy,5.13e-06,writing,Abstraction
acquaintance.n.02,relationship.n.03,5,2,acquaintance,relationship,acquaintance,3.55e-06,division,Abstraction
multiplication.n.02,increase.n.03,4,2,multiplication,increase,multiplication,1.82e-06,opposition,Other
small_indefinite_quantity.n.01,indefinite_quantity.n.01,4,2,small indefinite quantity,indefinite quantity,small indefinite quantity,2.5e-06,distorted shape,Abstraction
cutoff.n.01,limit.n.06,5,2,cutoff,limit,cutoff,1.62e-06,formation,Abstraction
mineral_kingdom.n.01,kingdom.n.06,4,2,mineral kingdom,kingdom,mineral kingdom,8.52e-06,body part,Abstraction
millionaire.n.01,rich_person.n.01,5,2,millionaire,rich person,millionaire,5.37e-06,bugle call,Person
understatement.n.01,statement.n.01,5,2,understatement,statement,understatement,2.29e-06,expert,Abstraction
vulnerability.n.02,weakness.n.03,5,2,vulnerability,weakness,vulnerability,5.01e-06,case,Abstraction
facial_expression.n.01,gesture.n.02,5,2,facial expression,gesture,facial expression,9.29e-06,assimilation,Abstraction
deaf.n.01,people.n.01,4,2,deaf,people,deaf,9.77e-06,status,Abstraction
nod.n.01,gesture.n.02,5,2,nod,gesture,nod,5.5e-06,thoughtfulness,Abstraction
amplitude.n.03,magnitude.n.01,5,2,amplitude,magnitude,amplitude,1.91e-06,communicator,Abstraction
